Timestamp,Event,EAR,MAR,Head_Pitch_deg,PERCLOS_pct,Consec_Closed_Frames,Duration_s
20:17:41,DROWSY_ALARM,0.0761,0.0035,-2.46,25.08,34,
20:17:53,RESOLVED,0.2874,0.0027,-0.95,24.96,0,11.7
20:17:54,DROWSY_ALARM,0.1130,0.0021,-2.06,25.04,2,
20:17:54,RESOLVED,0.2527,0.0031,-1.65,24.96,0,0.2
20:17:58,DROWSY_ALARM,0.0675,0.0011,-0.00,25.00,30,
20:18:04,RESOLVED,0.2690,0.0043,-2.72,24.97,0,5.2
20:18:04,DROWSY_ALARM,0.0894,0.0033,-1.46,25.00,3,
20:18:04,RESOLVED,0.2486,0.0051,-1.02,24.97,0,0.2
20:18:08,DROWSY_ALARM,0.0543,0.0018,-1.25,25.00,25,
20:18:15,RESOLVED,0.2675,0.0025,-7.00,24.98,0,7.1
20:18:19,DROWSY_ALARM,0.0794,0.0014,-0.93,25.02,32,
20:18:33,YAWN,0.2541,0.9613,-4.29,36.10,0,
20:18:48,RESOLVED,0.2682,0.0035,-2.14,0.00,0,28.6
20:18:52,DROWSY_ALARM,0.1051,0.0020,-1.85,25.41,25,
20:18:52,RESOLVED,0.2575,0.0011,-1.96,24.80,0,0.1
