Timestamp,Event,EAR,MAR,Head_Pitch_deg,PERCLOS_pct,Consec_Closed_Frames,Duration_s
20:21:17,DROWSY_ALARM,0.1607,0.1464,-2.45,25.49,18,
20:21:28,RESOLVED,0.2661,0.0007,-1.04,0.00,0,11.5
20:21:29,DROWSY_ALARM,0.1172,0.0012,-0.85,25.00,3,
20:21:30,RESOLVED,0.2698,0.0015,-0.22,23.53,0,1.1
20:21:30,DROWSY_ALARM,0.2240,0.0016,-0.51,25.00,1,
20:21:30,RESOLVED,0.2640,0.0023,-0.50,24.14,0,0.4
20:21:37,DROWSY_ALARM,0.2166,0.0020,-0.54,25.37,9,
20:21:40,RESOLVED,0.2741,0.0028,-0.78,0.00,0,3.5
20:21:41,DROWSY_ALARM,0.2097,0.0035,-0.34,25.00,4,
20:21:41,RESOLVED,0.2515,0.0033,-0.09,23.53,0,0.1
20:21:48,DROWSY_ALARM,0.1541,0.1544,-0.96,25.25,28,
20:21:53,RESOLVED,0.2425,0.1454,-2.00,0.00,0,4.1
20:21:53,DROWSY_ALARM,0.2295,0.0574,-3.05,100.00,1,
20:21:53,RESOLVED,0.2509,0.0014,-2.50,0.00,0,0.1
20:21:53,DROWSY_ALARM,0.2313,0.0015,-1.10,33.33,1,
20:21:53,RESOLVED,0.2512,0.0171,-0.23,20.00,0,0.1
20:22:09,DROWSY_ALARM,0.1536,0.0034,-2.19,17.32,35,
20:22:33,RESOLVED,0.2678,0.0009,-1.25,0.00,0,24.8
20:22:34,DROWSY_ALARM,0.1073,0.0025,-1.29,25.00,4,
20:22:35,RESOLVED,0.2687,0.0024,-1.51,24.24,0,0.6
20:23:13,DROWSY_ALARM,0.1958,0.0013,-1.16,16.04,35,
20:23:13,RESOLVED,0.2560,0.0021,-1.48,16.02,0,0.1
20:25:10,DROWSY_ALARM,0.0906,0.0027,-0.97,9.44,35,
20:25:12,RESOLVED,0.2614,0.0009,-1.03,12.17,0,1.8
20:25:15,DROWSY_ALARM,0.0888,0.0042,-0.88,14.11,35,
20:25:18,RESOLVED,0.2396,0.0024,-0.33,18.72,0,2.9
20:25:20,DROWSY_ALARM,0.1724,0.0009,-1.15,100.00,1,
20:25:20,RESOLVED,0.2661,0.0026,-1.46,20.00,0,0.2
20:25:20,DROWSY_ALARM,0.1172,0.0024,-2.44,100.00,1,
20:25:21,RESOLVED,0.2717,0.0019,-2.14,22.22,0,0.3
20:25:27,DROWSY_ALARM,0.1190,0.0019,-1.73,25.00,27,
20:25:53,RESOLVED,0.2709,0.0022,-1.27,24.97,0,26.1
20:30:31,DROWSY_ALARM,0.0885,0.0069,-3.11,13.83,35,
20:30:32,RESOLVED,0.2373,0.0062,-3.85,15.56,0,1.1
20:30:34,DROWSY_ALARM,0.1455,0.0056,-4.15,16.89,35,
20:31:02,RESOLVED,0.2838,0.0030,-2.72,0.00,0,28.4
20:31:13,DROWSY_ALARM,0.0857,0.0020,-5.89,25.16,17,
20:31:16,RESOLVED,0.2701,0.0028,-4.51,24.94,0,2.4
20:31:18,DROWSY_ALARM,0.0927,0.0031,-8.50,25.06,16,
20:31:20,RESOLVED,0.2949,0.0017,-7.58,24.95,0,2.2
20:31:21,DROWSY_ALARM,0.1342,0.0029,-7.45,25.05,8,
20:31:24,RESOLVED,0.3016,0.0039,-8.12,24.96,0,2.3
20:31:29,DROWSY_ALARM,0.0878,0.0029,-11.03,24.74,35,
20:31:37,RESOLVED,0.2767,0.0017,-0.51,24.97,0,8.4
20:32:14,DROWSY_ALARM,0.1654,0.0139,-15.23,17.67,35,
20:32:14,RESOLVED,0.2552,0.0022,-17.80,18.33,0,0.5
20:32:25,DROWSY_ALARM,0.1575,0.0027,-16.53,16.78,35,
20:32:26,RESOLVED,0.2735,0.0039,-17.19,17.50,0,0.5
